#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,picom,"for removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,firefox,"is the only non-chromium browser that just worksâ„¢."
,firefox-tridactyl,"is a firefox extension for the power of vim in the browser."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
,maim,"can take quick screenshots at your request."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,fzy,"is a fuzzy finder tool."
,xorg-xbacklight,"enables changing screen brightness levels."
,zsh-completions,"provides powerful completions in the shell."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,htop-vim-git,"is a graphical and colorful system monitor."
G,https://github.com/jaenek/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/jaenek/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/jaenek/dwm.git,"is the window manager."
G,https://github.com/jaenek/slock.git,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
,docker,"is a container based vm utility."
,docker,"is a solution for mulicontainer docker environments."
A,ttf-unifont,"based monochrome utf-8 font."
,transmission-cli,"is a command-line interface for a well known bitttorent client."
,tmux,"is a helpful terminal multiplexer."
,syncthing,"is a file syncing utility."
,python-pywal,"is a program used for generating system themes."
,nvidia,"is a graphics card driver."
,nvidia-settings,"is a graphics card settings program for managing monitors."
,jedi-language-server,"is a language server for python."
,lua-language-server,"is a language server for lua."
,fd,"is a better find tool."
,clang,"is a llvm c/c++ toolchain."
